Player Name,Total Clubs Played For,Clubs Played For
Alexander V. Silva,6,"Paris Saint-Germain, AS Roma, Galatasaray, Shakhtar Donetsk, Al-Hilal, Fluminense"
Jakub E. Martinez,1,Bologna
Alessandro P. Bianchi,6,"FC Porto, Lille, Borussia Dortmund, Al-Nassr, Fluminense, Inter Miami"
Louis F. Schneider,4,"Wolverhampton, Newcastle United, Atlanta United, Benfica"
Ethan G. Ramirez,7,"Paris Saint-Germain, Newcastle United, Inter Milan, Monaco, Valencia, Al-Hilal, Al-Ahli"
Mateo D. Rojas,1,Boca Juniors
Maximilian J. Ramirez,2,"Inter Miami, Manchester United"
João C. Jones,1,SS Lazio
Igor R. Van Dijk,1,Al-Hilal
Iker G. Esposito,2,"Rangers, Barcelona"
Nicolò T. Hoffmann,4,"Real Sociedad, Juventus, Al-Nassr, Atalanta"
Bernardo F. Becker,6,"Marseille, Tottenham Hotspur, Benfica, PSV Eindhoven, LAFC, LA Galaxy"
Diego D. Dubois,5,"PSV Eindhoven, Al-Ahli, Atalanta, West Ham United, Brighton & Hove Albion"
Kenji D. Gomez,3,"Borussia Mönchengladbach, River Plate, Real Sociedad"
Leonardo D. Müller,5,"Palmeiras, Getafe, Sevilla, Dynamo Kyiv, Feyenoord"
Dries L. Dubois,3,"Bologna, Villarreal, Fluminense"
Jan H. Leroy,1,Eintracht Frankfurt
Romelu H. Nieuwenhuis,3,"LAFC, Borussia Mönchengladbach, Fiorentina"
Luka P. Gomez,5,"Marseille, Lille, Lyon, São Paulo, Nice"
Noah F. Williams,1,Inter Miami
Josko J. Laurent,7,"Boca Juniors, PSV Eindhoven, Chelsea, River Plate, Rangers, Marseille, Wolverhampton"
Bruno K. Laurent,7,"Grêmio, Bayern Munich, Paris Saint-Germain, Boca Juniors, Feyenoord, PSV Eindhoven, AC Milan"
Felix L. Visser,3,"PSV Eindhoven, Inter Miami, Shakhtar Donetsk"
Nathan L. Martinez,7,"River Plate, LAFC, Liverpool, Fiorentina, Bologna, Ajax, Shakhtar Donetsk"
Ivan J. Brown,2,"Nice, Athletic Bilbao"
Amir T. Schneider,2,"Villarreal, Wolverhampton"
Mateo N. Vasquez,7,"Manchester United, Celtic, Fenerbahce, Rangers, Sevilla, Inter Milan, Juventus"
Alexander M. Wilson,4,"Arsenal, AC Milan, Palmeiras, Flamengo"
Arthur T. Moreno,6,"Bayer Leverkusen, Al-Nassr, Paris Saint-Germain, Eintracht Frankfurt, Monaco, Al-Ittihad"
Rafael T. Hoffmann,2,"Flamengo, Newcastle United"
Thibaut F. Hernandez,6,"Inter Miami, Lille, LA Galaxy, Real Madrid, Marseille, Borussia Dortmund"
Noah L. Roux,6,"FC Porto, Flamengo, PSV Eindhoven, Real Betis, Juventus, SS Lazio"
Bernardo V. Sanchez,1,Tottenham Hotspur
Luka N. Silva,2,"Athletic Bilbao, Monaco"
Federico D. Alvarez,7,"Olympiacos, Inter Milan, River Plate, PSV Eindhoven, Brighton & Hove Albion, Palmeiras, Getafe"
Jan D. De Jong,6,"Brighton & Hove Albion, Schalke 04, Bayer Leverkusen, Al-Hilal, Paris Saint-Germain, BRAGA"
Diego G. Esposito,7,"Al-Ittihad, AS Roma, Sporting CP, Tottenham Hotspur, LAFC, Sevilla, Napoli"
Kofi E. Sanchez,5,"Al-Nassr, Al-Hilal, Lille, Atlanta United, Everton"
Hiroshi J. Ferrari,2,"Inter Miami, Borussia Dortmund"
Maximilian G. Schneider,5,"Tottenham Hotspur, Shakhtar Donetsk, Borussia Mönchengladbach, LAFC, Napoli"
Tiago D. Moreno,4,"AS Roma, Nice, Lyon, Ajax"
Diogo D. Torres,3,"Paris Saint-Germain, Torino, Benfica"
Santiago H. Schneider,1,Bayer Leverkusen
Gavi J. Diaz,3,"Everton, Torino, Atletico Madrid"
Luka J. Meyer,2,"Getafe, BRAGA"
Jan A. Dubois,3,"FC Porto, São Paulo, Bayer Leverkusen"
Cody A. Schmidt,5,"Real Madrid, Bayer Leverkusen, Lyon, Flamengo, Al-Ahli"
Adrian L. Visser,4,"Al-Ittihad, Palmeiras, Sevilla, Dynamo Kyiv"
Axel C. Thomas,4,"Aston Villa, AS Roma, Monaco, Olympiacos"
Leonardo J. Becker,7,"Besiktas, Juventus, Al-Hilal, Inter Milan, Corinthians, Dynamo Kyiv, Atletico Madrid"
Oliver P. Fischer,6,"Al-Ittihad, SS Lazio, River Plate, Eintracht Frankfurt, VfL Wolfsburg, Tottenham Hotspur"
Jan A. Van Dijk,5,"Brighton & Hove Albion, Fluminense, Fiorentina, Borussia Mönchengladbach, Besiktas"
Elias E. Roberts,4,"Fluminense, Fiorentina, Bologna, Aston Villa"
Kwame R. Schneider,7,"Al-Ittihad, Al-Nassr, VfL Wolfsburg, Real Sociedad, Fenerbahce, Villarreal, Al-Hilal"
Giorgio N. Rojas,2,"Arsenal, LAFC"
Tiago C. De Jong,6,"BRAGA, Sporting CP, Rangers, Real Madrid, Fluminense, Benfica"
Rafael D. Diaz,4,"Manchester United, Villarreal, FC Porto, Tottenham Hotspur"
Jonas D. Simon,3,"Boca Juniors, Real Sociedad, AC Milan"
Pedri P. Romano,1,BRAGA
Mateo L. Leroy,7,"Nice, Barcelona, Ajax, Inter Miami, FC Porto, Chelsea, Al-Ittihad"
David M. Taylor,7,"Atletico Madrid, Corinthians, Chelsea, Real Betis, Borussia Mönchengladbach, Valencia, Sporting CP"
Kenji N. David,2,"SS Lazio, Atletico Madrid"
Jonas E. Colombo,2,"São Paulo, FC Porto"
Ciro G. Ramirez,3,"Ajax, Aston Villa, PSV Eindhoven"
Dimitri V. Gomez,3,"Real Betis, Athletic Bilbao, Valencia"
Felix T. Bertrand,7,"Bayer Leverkusen, Wolverhampton, Liverpool, Getafe, Chelsea, Olympiacos, Palmeiras"
João S. Lefebvre,1,Marseille
Benjamin M. Martinez,6,"Atletico Madrid, Napoli, BRAGA, Wolverhampton, Newcastle United, Galatasaray"
Sandro P. Lefebvre,4,"Fluminense, Galatasaray, Bayern Munich, Manchester City"
Nicolas A. Fischer,1,Newcastle United
Kevin Vasquez,6,"Corinthians, Santos, PSV Eindhoven, Real Sociedad, Inter Milan, Borussia Dortmund"
Alexander S. Schneider,1,Santos
Diego C. Jansen,3,"Barcelona, Napoli, Schalke 04"
Rafael C. Williams,4,"West Ham United, Palmeiras, Flamengo, Arsenal"
Lukas M. Gomez,4,"Inter Milan, Boca Juniors, Lille, Feyenoord"
Stefan L. Romano,2,"AS Roma, Valencia"
Thibaut S. Alvarez,3,"Wolverhampton, Olympiacos, Lyon"
Giorgio G. Gomez,5,"Feyenoord, Lyon, Besiktas, River Plate, Liverpool"
Sebastian H. Esposito,2,"BRAGA, Atletico Madrid"
Kwan V. Jansen,3,"Borussia Mönchengladbach, Feyenoord, Aston Villa"
Axel J. Nieuwenhuis,3,"Lyon, Feyenoord, Manchester United"
Mason J. Greco,3,"Ajax, Tottenham Hotspur, Atletico Madrid"
Mateo T. De Jong,6,"Dynamo Kyiv, AS Roma, SS Lazio, Celtic, Barcelona, RB Leipzig"
Cody S. De Jong,4,"Manchester United, Juventus, Manchester City, Al-Ittihad"
Sven B. Taylor,7,"Monaco, Aston Villa, Newcastle United, Atletico Madrid, Manchester City, Everton, FC Porto"
Gavi E. Moreau,1,Celtic
Noah G. Ferrari,1,West Ham United
Arthur R. Williams,1,Atletico Madrid
Santiago C. Schulz,4,"Fiorentina, Newcastle United, Bayern Munich, Sporting CP"
Jan H. Nieuwenhuis,4,"Flamengo, Ajax, Eintracht Frankfurt, Atlanta United"
Memphis C. Michel,6,"Schalke 04, Everton, West Ham United, River Plate, Rangers, Celtic"
Kwan M. Van Dijk,1,Bayern Munich
Gabriel K. Thomas,6,"AC Milan, Lille, Santos, Arsenal, Napoli, Fluminense"
Miklós D. Vasquez,6,"Monaco, Real Sociedad, Wolverhampton, Shakhtar Donetsk, Tottenham Hotspur, São Paulo"
Josko G. Fernandez,2,"Rennes, Brighton & Hove Albion"
Bernardo M. Brown,5,"Paris Saint-Germain, Tottenham Hotspur, Boca Juniors, Manchester United, Sevilla"
Gianluigi G. Martinez,7,"RB Leipzig, Fiorentina, Inter Miami, Al-Ahli, Rennes, AC Milan, Lille"
Gianluigi A. Gomez,1,Dynamo Kyiv
Bernardo E. Romano,5,"Real Sociedad, Brighton & Hove Albion, Atletico Madrid, Liverpool, Everton"
Diego M. Thomas,5,"Boca Juniors, Fiorentina, PSV Eindhoven, Borussia Mönchengladbach, Marseille"
Jonas K. Bruno,1,River Plate
Gonçalo M. Smit,6,"Nice, Rangers, Borussia Dortmund, Rennes, Dynamo Kyiv, LA Galaxy"
Thibaut P. Sanchez,6,"Boca Juniors, Newcastle United, Monaco, Borussia Mönchengladbach, Feyenoord, Schalke 04"
Kevin M. Fischer,3,"LAFC, Tottenham Hotspur, Inter Milan"
Youssef C. Lefebvre,2,"Olympiacos, BRAGA"
Gavi K. Fernandez,5,"Flamengo, Lille, Bologna, Bayer Leverkusen, Sporting CP"
Jakub T. Jones,6,"LAFC, Atalanta, Corinthians, Palmeiras, Flamengo, Getafe"
Dominik B. Brown,7,"Lyon, Fluminense, Al-Ittihad, Torino, Flamengo, Athletic Bilbao, Rennes"
Jan T. Rojas,7,"Sevilla, PSV Eindhoven, LAFC, Napoli, Athletic Bilbao, São Paulo, Arsenal"
Iker V. Rossi,2,"Al-Hilal, Bayern Munich"
Nicolas F. Wagner,2,"Shakhtar Donetsk, Sevilla"
Diogo K. Dubois,7,"Rangers, PSV Eindhoven, Everton, Al-Ittihad, Monaco, Real Madrid, Paris Saint-Germain"
Adrian L. David,7,"Galatasaray, Borussia Mönchengladbach, LA Galaxy, Flamengo, Eintracht Frankfurt, Feyenoord, SS Lazio"
Pedri G. Roux,6,"Wolverhampton, Villarreal, Dynamo Kyiv, Besiktas, River Plate, Manchester United"
Tariq F. De Bruyne,4,"RB Leipzig, Torino, SS Lazio, Bayer Leverkusen"
Dimitri C. Silva,5,"Real Madrid, Newcastle United, Getafe, Lille, Galatasaray"
Ivan K. Jones,3,"Barcelona, Everton, Olympiacos"
Kacper Vasquez,4,"Marseille, Manchester City, Nice, Besiktas"
Dominik G. Bianchi,4,"Brighton & Hove Albion, Monaco, Napoli, Everton"
Miklós M. Ricci,1,Liverpool
Josko B. Garcia,2,"Feyenoord, Bayern Munich"
Jan A. Ferrari,2,"Santos, Napoli"
Oluwaseun L. Becker,4,"Eintracht Frankfurt, Galatasaray, São Paulo, VfL Wolfsburg"
Federico P. Thomas,5,"Galatasaray, Lyon, Eintracht Frankfurt, BRAGA, Sevilla"
Noah F. Esposito,1,Corinthians
Benjamin R. Hoffmann,6,"Al-Hilal, Real Madrid, Wolverhampton, Everton, Besiktas, Santos"
Frenkie P. Roberts,4,"LA Galaxy, BRAGA, Lyon, VfL Wolfsburg"
Kacper A. Laurent,1,Bayern Munich
Mateo R. Roberts,5,"Boca Juniors, West Ham United, Rangers, Napoli, Tottenham Hotspur"
Frenkie P. Santos,2,"Bologna, AS Roma"
Gabriel A. Sanchez,7,"Fluminense, Borussia Mönchengladbach, Torino, Borussia Dortmund, Fenerbahce, Benfica, Nice"
Igor C. Greco,7,"Torino, Ajax, Manchester United, AS Roma, Manchester City, Atalanta, Olympiacos"
Gonçalo Rossi,6,"Al-Ahli, Flamengo, Chelsea, São Paulo, SS Lazio, Getafe"
Tariq M. Davies,7,"Fiorentina, Bayer Leverkusen, Dynamo Kyiv, São Paulo, Real Betis, SS Lazio, Everton"
Tariq F. Michel,6,"Schalke 04, River Plate, Atletico Madrid, Tottenham Hotspur, Ajax, FC Porto"
Ciro E. Brown,3,"Tottenham Hotspur, LAFC, BRAGA"
Pedri Becker,4,"Shakhtar Donetsk, Paris Saint-Germain, Monaco, Lyon"
Andrei C. Visser,2,"Manchester City, Fiorentina"
Maximilian K. Bianchi,5,"Sporting CP, Borussia Dortmund, Fiorentina, PSV Eindhoven, Paris Saint-Germain"
Samuel L. Moreno,4,"Atlanta United, Brighton & Hove Albion, SS Lazio, Lyon"
Diogo N. Vasquez,5,"Sporting CP, Real Sociedad, Manchester United, Palmeiras, Galatasaray"
Filip D. Evans,5,"Rangers, Fluminense, Lyon, Real Betis, Corinthians"
Federico R. Colombo,3,"Athletic Bilbao, Fluminense, Olympiacos"
Alessandro T. Vasquez,4,"West Ham United, Besiktas, Fenerbahce, FC Porto"
Youssef V. Bertrand,5,"Manchester United, Al-Ahli, Sevilla, LAFC, Atalanta"
Kofi V. Alvarez,7,"Boca Juniors, RB Leipzig, Santos, Al-Hilal, SS Lazio, Nice, VfL Wolfsburg"
Lorenzo J. Jansen,5,"Paris Saint-Germain, Lyon, Ajax, Bologna, Inter Milan"
Kwame Wilson,5,"Napoli, Real Sociedad, Bologna, Al-Nassr, AC Milan"
Leonardo H. Bruno,1,Arsenal
Leonardo T. Rojas,5,"Atletico Madrid, Flamengo, Paris Saint-Germain, Bayer Leverkusen, Aston Villa"
Jan J. Colombo,1,Nice
Cody Schneider,5,"Benfica, FC Porto, Feyenoord, Al-Hilal, Marseille"
Xavi V. Müller,3,"Atalanta, Inter Milan, Borussia Mönchengladbach"
Alessandro P. Bakker,5,"Benfica, Sevilla, Lille, Olympiacos, Fiorentina"
Cody T. Roberts,6,"Real Madrid, Fiorentina, Al-Nassr, BRAGA, Athletic Bilbao, Barcelona"
Oliver V. Diaz,1,Ajax
Tiago E. Bianchi,1,Fenerbahce
Filip L. Fernandez,6,"Atalanta, Arsenal, Borussia Dortmund, West Ham United, Atlanta United, Dynamo Kyiv"
Sandro A. Schulz,1,Boca Juniors
Romelu D. Laurent,6,"PSV Eindhoven, São Paulo, Boca Juniors, Manchester City, Feyenoord, Valencia"
Leonardo A. Brown,6,"Torino, Atletico Madrid, Manchester United, Dynamo Kyiv, Borussia Mönchengladbach, Flamengo"
Leonardo Ramirez,7,"Schalke 04, Arsenal, Nice, Monaco, Fenerbahce, Shakhtar Donetsk, AS Roma"
Rafael N. Rojas,1,Napoli
Romelu N. Moreau,4,"Palmeiras, Olympiacos, Al-Nassr, Sporting CP"
Stefan H. Thomas,4,"Valencia, West Ham United, Manchester United, Al-Ahli"
Lucas R. Esposito,6,"Sporting CP, Boca Juniors, Rennes, Real Madrid, Dynamo Kyiv, Bologna"
Stefan R. Colombo,5,"Fiorentina, Lyon, Dynamo Kyiv, Benfica, Fenerbahce"
Liam E. Gomez,2,"Nice, FC Porto"
Toby C. Rossi,2,"AS Roma, Olympiacos"
Dimitri V. Roberts,5,"AS Roma, Atletico Madrid, Palmeiras, Aston Villa, Galatasaray"
Lucas C. Laurent,1,Benfica
Diogo A. Moreno,1,Barcelona
Amir B. Thomas,3,"Atletico Madrid, Eintracht Frankfurt, Lille"
Lorenzo R. Davies,2,"Rangers, Atletico Madrid"
Jakub C. Martinez,2,"Napoli, SS Lazio"
Louis A. Silva,7,"Wolverhampton, PSV Eindhoven, Rangers, Athletic Bilbao, Manchester City, Arsenal, Valencia"
Mason N. Perez,6,"São Paulo, Galatasaray, Getafe, Atalanta, Barcelona, Sevilla"
Oliver M. Vasquez,4,"Fluminense, Olympiacos, Sporting CP, Lyon"
Frenkie N. Nieuwenhuis,3,"Tottenham Hotspur, Chelsea, Brighton & Hove Albion"
Kevin F. Schneider,7,"RB Leipzig, AC Milan, Borussia Mönchengladbach, Galatasaray, Al-Hilal, Borussia Dortmund, Monaco"
Andrei E. Moreau,2,"Brighton & Hove Albion, Grêmio"
Kwan C. Smit,5,"LA Galaxy, Athletic Bilbao, Bologna, Barcelona, Nice"
Paul J. Greco,1,Borussia Dortmund
Liam N. Visser,3,"São Paulo, Real Sociedad, BRAGA"
Samuel S. Gonzales,6,"Nice, Borussia Dortmund, Real Sociedad, LA Galaxy, Lille, Al-Ahli"
Pedri D. Nieuwenhuis,1,VfL Wolfsburg
Igor L. Williams,7,"Paris Saint-Germain, Al-Nassr, Marseille, Ajax, Manchester United, Al-Hilal, Tottenham Hotspur"
Luka D. Taylor,5,"Inter Miami, Manchester United, Monaco, BRAGA, River Plate"
Rafael R. Bruno,4,"Atletico Madrid, Boca Juniors, AS Roma, Chelsea"
Marco M. Roberts,6,"Barcelona, LAFC, Lille, Sporting CP, Real Madrid, Borussia Mönchengladbach"
Tiago F. Flores,5,"Fenerbahce, Boca Juniors, Monaco, Valencia, Bologna"
Sandro H. Romano,1,SS Lazio
João C. Wagner,6,"Bologna, Villarreal, Fenerbahce, Al-Hilal, Athletic Bilbao, Al-Nassr"
Gianluigi S. Dubois,7,"Fenerbahce, Paris Saint-Germain, Chelsea, SS Lazio, Arsenal, RB Leipzig, Lyon"
Bruno T. Fernandez,3,"Corinthians, Fiorentina, Bologna"
Youssef F. Meyer,5,"Real Madrid, Arsenal, Borussia Mönchengladbach, Eintracht Frankfurt, Al-Nassr"
Virgil A. Gomez,3,"Al-Ittihad, Atalanta, Rennes"
Oluwaseun Wilson,5,"Liverpool, Manchester City, Atalanta, Flamengo, Bayer Leverkusen"
Julian N. Visser,2,"Valencia, Schalke 04"
Hugo D. Michel,4,"Getafe, Atalanta, Real Betis, Nice"
Giorgio F. Laurent,4,"West Ham United, Athletic Bilbao, Real Sociedad, AS Roma"
Marco J. Esposito,7,"Paris Saint-Germain, Arsenal, FC Porto, Al-Nassr, Eintracht Frankfurt, AC Milan, Wolverhampton"
Leonardo N. Smit,7,"São Paulo, Athletic Bilbao, Fenerbahce, Rangers, Aston Villa, Flamengo, Valencia"
Oliver J. Williams,4,"Al-Hilal, Athletic Bilbao, VfL Wolfsburg, Manchester United"
Memphis B. Moreau,1,PSV Eindhoven
Stefan D. Rossi,4,"Fiorentina, Grêmio, Napoli, AC Milan"
Iker C. De Jong,5,"Besiktas, Ajax, Shakhtar Donetsk, SS Lazio, Monaco"
Gianluigi T. Schneider,6,"Inter Miami, Juventus, Brighton & Hove Albion, Feyenoord, Wolverhampton, VfL Wolfsburg"
David V. Rojas,4,"LA Galaxy, AS Roma, Torino, Getafe"
Kevin F. Moreno,4,"Eintracht Frankfurt, Borussia Mönchengladbach, West Ham United, River Plate"
Xavi E. Perez,2,"Galatasaray, Arsenal"
Oluwaseun G. Becker,7,"Athletic Bilbao, Atletico Madrid, Ajax, Tottenham Hotspur, Liverpool, Real Sociedad, Brighton & Hove Albion"
Leonardo E. Thomas,7,"RB Leipzig, Nice, Eintracht Frankfurt, Bologna, Inter Milan, Aston Villa, Paris Saint-Germain"
Leonardo C. Marino,1,FC Porto
Elias T. Michel,5,"Al-Hilal, Benfica, Athletic Bilbao, Napoli, Getafe"
Maximilian M. Flores,1,AC Milan
Ethan G. Moreno,7,"LAFC, SS Lazio, Besiktas, Galatasaray, RB Leipzig, Eintracht Frankfurt, Palmeiras"
Axel P. Schmidt,3,"Feyenoord, Villarreal, Santos"
Diego M. Torres,1,Galatasaray
Miklós P. Thomas,2,"LAFC, PSV Eindhoven"
Chidi E. Thomas,3,"Benfica, Wolverhampton, Newcastle United"
Nathan G. Jansen,6,"Rangers, Boca Juniors, Valencia, Bologna, Besiktas, Fluminense"
Alessandro B. Rojas,2,"Wolverhampton, Marseille"
Andrei L. Davies,1,West Ham United
Axel J. Hernandez,6,"Rangers, Bayer Leverkusen, Everton, LA Galaxy, Galatasaray, Juventus"
Jakub B. Bakker,5,"Liverpool, Chelsea, Getafe, West Ham United, Feyenoord"
Diego C. Roux,5,"Bayer Leverkusen, São Paulo, Getafe, Aston Villa, AS Roma"
Rafael T. Visser,3,"Rangers, Palmeiras, Schalke 04"
Iker N. Thomas,7,"Sevilla, Shakhtar Donetsk, AC Milan, Santos, West Ham United, Olympiacos, PSV Eindhoven"
Marco E. Alvarez,3,"Shakhtar Donetsk, Arsenal, Nice"
Adrian T. Torres,3,"Bologna, LA Galaxy, Liverpool"
Nicolas P. Davies,7,"Real Sociedad, Athletic Bilbao, Juventus, Borussia Dortmund, Napoli, São Paulo, Wolverhampton"
Miklós J. Evans,6,"Lyon, Lille, Rennes, Inter Milan, Santos, Corinthians"
Adrian G. Lefebvre,3,"Inter Milan, Atalanta, Grêmio"
Miklós B. Rojas,6,"Palmeiras, Grêmio, River Plate, Inter Milan, Al-Hilal, Shakhtar Donetsk"
Arthur N. Smith,6,"Nice, Inter Miami, Villarreal, BRAGA, Valencia, Inter Milan"
Giorgio T. Lefebvre,7,"Ajax, Athletic Bilbao, Rangers, Arsenal, Fluminense, Grêmio, Real Madrid"
Youssef M. Smit,7,"Torino, Brighton & Hove Albion, Getafe, Palmeiras, Nice, Napoli, Lyon"
Bernardo H. Martinez,4,"Fenerbahce, São Paulo, Boca Juniors, Grêmio"
Jonas A. Laurent,5,"Palmeiras, Chelsea, Villarreal, Sporting CP, Ajax"
Stefan A. Martinez,1,Al-Hilal
Nathan V. Davies,2,"Fenerbahce, Olympiacos"
Diogo L. Esposito,6,"Manchester United, Bayern Munich, FC Porto, Benfica, Atlanta United, Dynamo Kyiv"
Memphis L. Bruno,5,"Monaco, Napoli, Grêmio, Al-Ittihad, River Plate"
Julian D. Smith,7,"Feyenoord, Flamengo, Bologna, Palmeiras, Borussia Dortmund, Athletic Bilbao, LAFC"
Xavi B. De Jong,4,"Real Betis, Palmeiras, LAFC, Lille"
Alessandro T. Gonzales,3,"Corinthians, Grêmio, Brighton & Hove Albion"
Filip J. Rojas,7,"Olympiacos, Al-Ahli, SS Lazio, Manchester United, Fiorentina, Feyenoord, Newcastle United"
Sandro M. Bertrand,4,"Sporting CP, Manchester City, Paris Saint-Germain, Al-Ahli"
Rafael B. Hernandez,2,"Sevilla, PSV Eindhoven"
Santiago N. Thomas,3,"Real Madrid, Lille, Schalke 04"
Kenji V. Schneider,3,"Al-Nassr, Fenerbahce, Borussia Dortmund"
Sandro P. Schulz,3,"Schalke 04, Benfica, Getafe"
Jonas N. Martinez,2,"Al-Ahli, São Paulo"
Arthur H. Dubois,1,Santos
Tiago N. Romano,4,"SS Lazio, Manchester United, Lille, Real Madrid"
Hiroshi N. Gomez,5,"VfL Wolfsburg, Galatasaray, Juventus, Palmeiras, Al-Ittihad"
Daniel P. Alvarez,4,"FC Porto, Monaco, Boca Juniors, Marseille"
Xavi V. Visser,2,"Corinthians, River Plate"
Jan R. De Bruyne,4,"Marseille, Napoli, São Paulo, Sevilla"
Youssef E. Schulz,5,"Everton, Galatasaray, Fluminense, Villarreal, Al-Ittihad"
Daniel N. Esposito,6,"Fluminense, Al-Hilal, São Paulo, Sevilla, Schalke 04, Aston Villa"
Noah K. Sanchez,1,Nice
Kenji T. Weber,4,"Fluminense, Lyon, Inter Miami, Bayer Leverkusen"
Pedri L. Esposito,3,"Real Sociedad, Aston Villa, Getafe"
Kofi N. Fischer,2,"Olympiacos, Al-Ittihad"
Arthur S. Rossi,6,"Manchester United, Rennes, Al-Ahli, Fenerbahce, Olympiacos, Bologna"
Amir Dubois,3,"Atletico Madrid, Shakhtar Donetsk, Al-Ittihad"
Filip N. Michel,5,"Sporting CP, Aston Villa, BRAGA, Besiktas, Dynamo Kyiv"
Stefan P. Becker,1,Nice
Jakub Bakker,6,"Atletico Madrid, Fiorentina, Dynamo Kyiv, Everton, West Ham United, Arsenal"
Benjamin L. Evans,4,"Atlanta United, Flamengo, Olympiacos, Inter Milan"
Nicolas R. Leroy,6,"PSV Eindhoven, Galatasaray, Fiorentina, Inter Milan, Tottenham Hotspur, São Paulo"
Mateo P. Roberts,6,"Inter Miami, São Paulo, Palmeiras, Sevilla, Fiorentina, Atalanta"
Alessandro K. Fischer,5,"River Plate, Rennes, Celtic, Borussia Dortmund, Real Sociedad"
Dominik K. Silva,4,"Shakhtar Donetsk, Inter Milan, Lille, Brighton & Hove Albion"
Eden G. Bianchi,6,"Manchester City, AS Roma, Brighton & Hove Albion, Juventus, LAFC, Chelsea"
Jan F. Santos,3,"Benfica, Sevilla, PSV Eindhoven"
Gabriel E. Gomez,3,"Juventus, Benfica, Getafe"
Frenkie H. Müller,2,"Chelsea, Bologna"
Daniel A. Roberts,3,"Al-Ittihad, Galatasaray, Fenerbahce"
Tiago D. Evans,6,"Real Sociedad, Flamengo, Atalanta, Fenerbahce, West Ham United, LA Galaxy"
Federico S. Evans,3,"SS Lazio, AS Roma, Manchester City"
Jonas N. Rodriguez,4,"Atalanta, Santos, Nice, Eintracht Frankfurt"
João L. Thomas,2,"Rangers, Corinthians"
Dries G. Torres,6,"Besiktas, Borussia Dortmund, PSV Eindhoven, Corinthians, AC Milan, Al-Nassr"
Tariq P. Ferrari,1,FC Porto
Virgil J. Ricci,3,"Shakhtar Donetsk, Wolverhampton, Marseille"
Ethan D. Schmidt,5,"Fluminense, West Ham United, Shakhtar Donetsk, Benfica, FC Porto"
Nicolas A. Wilson,4,"Al-Ahli, Barcelona, Napoli, São Paulo"
Ciro Ricci,3,"Borussia Mönchengladbach, Real Madrid, Al-Ahli"
Mateo M. Jones,7,"Torino, Arsenal, Atlanta United, Liverpool, Olympiacos, Manchester United, LA Galaxy"
Eden V. Taylor,7,"Eintracht Frankfurt, Nice, Barcelona, Inter Milan, Manchester United, Lyon, Shakhtar Donetsk"
Josko R. Fernandez,7,"Barcelona, River Plate, Rennes, Real Madrid, Bologna, Schalke 04, Atlanta United"
Xavi K. Davies,3,"Marseille, BRAGA, Fluminense"
Kwan S. Schmidt,5,"Atalanta, Lyon, Olympiacos, Feyenoord, Manchester City"
Mateo S. Weber,7,"Everton, Fenerbahce, Bologna, Villarreal, PSV Eindhoven, BRAGA, Real Betis"
Samuel S. Dubois,7,"Besiktas, Lille, Atletico Madrid, AS Roma, Fenerbahce, Valencia, Al-Nassr"
Dries L. Thomas,1,FC Porto
Nicolò S. Michel,5,"Aston Villa, Santos, Feyenoord, VfL Wolfsburg, Getafe"
Eden E. Lopez,5,"Besiktas, Marseille, West Ham United, LA Galaxy, Eintracht Frankfurt"
Eden D. Perez,2,"Dynamo Kyiv, Borussia Dortmund"
Stefan R. Dubois,7,"PSV Eindhoven, Liverpool, Boca Juniors, Tottenham Hotspur, SS Lazio, Schalke 04, AS Roma"
Cody C. Ricci,7,"Bayer Leverkusen, Rangers, Boca Juniors, São Paulo, FC Porto, Fenerbahce, Valencia"
Igor J. Rossi,2,"Aston Villa, Olympiacos"
Gianluigi R. Michel,2,"Sevilla, Valencia"
Carlos G. Smit,4,"VfL Wolfsburg, Dynamo Kyiv, Manchester United, Wolverhampton"
Leonardo D. Weber,1,Lyon
Nicolas J. Bertrand,6,"Real Madrid, Everton, Atletico Madrid, Rennes, Al-Ittihad, Atalanta"
Iker R. Ferrari,6,"Flamengo, Fluminense, LAFC, Grêmio, Aston Villa, PSV Eindhoven"
Kacper J. Evans,7,"Sevilla, PSV Eindhoven, Rennes, Aston Villa, Atlanta United, Flamengo, Borussia Dortmund"
Miklós F. Vasquez,4,"Shakhtar Donetsk, Barcelona, LA Galaxy, Bayer Leverkusen"
Kacper B. Meyer,4,"Newcastle United, Torino, Feyenoord, AC Milan"
Mateo F. Garcia,2,"Rangers, PSV Eindhoven"
Diogo T. Moreau,2,"Real Betis, Inter Miami"
Hiroshi J. Laurent,7,"Al-Nassr, Manchester City, Chelsea, Sevilla, Tottenham Hotspur, Palmeiras, Inter Miami"
Bruno T. Bruno,6,"Schalke 04, Marseille, Palmeiras, LAFC, Nice, Borussia Mönchengladbach"
Oliver L. Wilson,5,"Real Betis, Grêmio, River Plate, Bayern Munich, Aston Villa"
Alexander L. Greco,7,"Athletic Bilbao, Inter Milan, Fiorentina, Dynamo Kyiv, Rennes, Bayer Leverkusen, Celtic"
Sven T. Marino,2,"FC Porto, Santos"
Bruno F. Silva,1,Al-Ittihad
Luka B. Becker,4,"LA Galaxy, Liverpool, Olympiacos, Lille"
Romelu C. Roux,2,"Arsenal, Dynamo Kyiv"
